character,dialogue,episode,line
Threepio,"He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording.",4,163
Luke,"H'm?  Oh, yeah, well, I guess you're too small to run away on me if I take this off!  Okay.",4,164
Luke,There you go.,4,165
Luke,"Well, wait a minute.  Where'd she go?  Bring her back!  Play back the entire message.",4,166
Threepio,been playing.  The one you're carrying inside your rusty innards! ,4,167
Aunt Beru,Luke?  Luke!  Come to dinner!,4,168
Luke,"All right, I'll be right there, Aunt Beru.",4,169
Threepio,"I'm sorry, sir, but he appears to have picked up a slight flutter.",4,170
Luke,"Well, see what you can do with him.  I'll be right back.",4,171
Threepio,Just you reconsider playing that message for him.,4,172
Threepio,"No, I don't think he likes you at all.",4,173
Threepio,"No, I don't like you either.",4,174
Luke,"You know, I think that R2 unit we bought might have been stolen.",4,175
Owen,What makes you think that?,4,176
Luke,"Well, I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi.",4,177
Luke,"I thought he might have meant Ben.  Do you know what he's talking about?  Well, I wonder if he's related to Ben.",4,178
Owen,That old man's just a crazy wizard.  Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed.  That'll be the end of it.  It belongs to us now.,4,179
Luke,But what if this Obi-Wan comes looking for him?,4,180
Owen,"He won't, I don't think he exists any more.  He died about the same time as your father.",4,181
Luke,He knew my father?,4,182
Owen,I told you to forget it.  Your only concern is to prepare the new droids for tomorrow.  In the morning I want them on the south ridge working out those condensers.,4,183
Luke,"Yes, sir.  I think those new droids are going to work out fine.  In fact, I, uh, was also thinking about our agreement about my staying on another season.  And if these new droids do work out, I want to transmit my application to the Academy this year.",4,184
Owen,You mean the next semester before harvest?,4,185
Luke,"Sure, there're more than enough droids.",4,186
Owen,Harvest is when I need you the most.  Only one more season.  This year we'll make enough on the harvest so I'll be able to hire some more hands.  And then you can go to the Academy next year.,4,187
Owen,"You must understand I need you here, Luke.",4,188
Luke,But it's a whole 'nother year.,4,189
Owen,"Look, it's only one more season.",4,190
Luke,"Yeah, that's what you said last year when Biggs and Tank left.",4,191
Aunt Beru,Where are you going?,4,192
Luke,It looks like I'm going nowhere.  I have to finish cleaning those droids.,4,193
Aunt Beru,"Owen, he can't stay here forever.  Most of his friends have gone.  It means so much to him.",4,194
Owen,I'll make it up to him next year.  I promise.,4,195
Aunt Beru,"Luke's just not a farmer, Owen.  He has too much of his father in him.",4,196
Owen,That's what I'm afraid of.,4,197
Luke,What are you doing hiding there?,4,198
Threepio,"It wasn't my fault, sir.  Please don't deactivate me.  I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission.",4,199
Luke,"Oh, no!",4,200
Threepio,That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I can't understand their logic at times. ,4,201
Luke,How could I be so stupid?  He's nowhere in sight.  Blast it!,4,202
Threepio,"Pardon me, sir, but couldn't we go after him?",4,203
Luke,It's too dangerous with all the Sand People around.  We'll have to wait until morning.,4,204
Owen,"Luke, I'm shutting the power down for the night.",4,205
Luke,"All right, I'll be there in a few minutes.  Boy, am I gonna get it.",4,206
Luke,You know that little droid is going to cause me a lot of trouble.,4,207
Threepio,"Oh, he excels at that, sir.",4,208
Owen,Luke?  Luke?  Luke?  Where could he be loafing now!,4,209
Owen,Have you seen Luke this morning?,4,210
Aunt Beru,"He said he had some things to do before he started today, so he left early.",4,211
Owen,Uh?  Did he take those two new droids with him?,4,212
Aunt Beru,I think so.,4,213
Owen,"Well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay!",4,214
Luke,How's that.,4,215
Luke,"Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isn't going to take this very well.",4,216
Threepio,"Sir, would it help if you told him it was my fault.",4,217
Luke,Sure.  He needs you.  He'd probably only deactivate you for a day or so...,4,218
Threepio,"Deactivate!  Well, on the other hand if you hadn't removed his restraining bolt...",4,219
Luke,"Wait, there's something dead ahead on the scanner.  It looks like our droid... hit the accelerator.",4,220
Luke,"Hey, whoa, just where do you think you're going?",4,221
